id,Name_x,FIPS,year,VAC(vacantHousing),PMC,POV(poverty),UMP(unemployment),EDE (highschooldiploma),SNQ(foodaccess),HousingEviction_rate,RBS(Rentburdened),Opioidrate,x,y
159,East Side,52,2018,17.18596688,13.24000318,17.67641378,13.86922279,11.29020094,26.96700586,2.49,33.00305356,4.7,-87.534907,41.707306
160,West Pullman,53,2018,18.88552132,13.28511297,25.62955689,22.96170445,16.75572339,25.263199,6.73,33.53797768,24.5,-87.635745,41.67382
161,Riverdale,54,2018,20.04386331,13.28573996,59.1787083,33.73352527,4.562848989,28.85566411,7.26,25.32974056,63.6,-87.602849,41.660137
162,Hegewisch,55,2018,11.7313921,13.2663839,17.55508549,7.481116647,16.72907976,61.854994,7.28,40.3540749,27.8,-87.556803,41.668188
163,Beverly,72,2018,5.595218001,13.28373162,4.186098642,4.213917761,57.02239029,88.84793422,3.97,13.53124331,14.9,-87.675072,41.713148
164,Washington Heights,73,2018,9.871890407,13.29172361,19.79252725,17.87982862,23.46912017,48.21052623,5.96,41.37468275,15.1,-87.648897,41.717495
165,Mount Greenwood,74,2018,4.561209776,13.24674709,4.146137506,3.826827507,39.49458567,90.98055157,8.78,18.8750328,11.2,-87.713189,41.694876
166,Morgan Park,75,2018,10.51184401,13.2715658,19.10967295,12.10942436,36.36253736,65.9449603,4.62,28.48558144,6.9,-87.669062,41.689729
167,Douglas,35,2018,11.43231414,13.21260858,35.03763529,13.25328177,44.14638304,56.24934427,3.83,26.68770505,16.6,-87.61868,41.835122
168,Oakland,36,2018,7.420974171,13.20450325,27.65016478,19.50660722,31.4168612,27.01281779,6.94,22.11873048,56.7,-87.603217,41.823754
169,Fuller Park,37,2018,29.20774567,13.24663087,24.61568577,34.20054385,10.64775033,26.20649702,3.28,29.61951179,90.8,-87.632427,41.809082
170,Grand Boulevard,38,2018,14.68485146,13.23297173,30.78766094,18.90213246,30.07897569,34.04146118,4.52,31.42122424,57.8,-87.61786,41.812947
171,Kenwood,39,2018,11.26034098,13.21826235,19.12214086,8.234848581,58.39253626,60.89355158,4.59,24.94889771,9.6,-87.596186,41.808918
172,Washington Park,40,2018,19.40687314,13.25214557,39.00607342,20.52718931,17.983271,17.50358029,6.14,35.11429514,62.8,-87.617936,41.792356
173,Hyde Park,41,2018,10.37979197,13.22087595,20.468095,7.81911218,79.50282476,86.16123353,2.76,32.03952441,2.3,-87.592305,41.794088
174,Woodlawn,42,2018,18.93930037,13.24529623,36.03812113,16.49080203,29.42029346,31.90336413,4.93,33.95591844,16.1,-87.594924,41.778877
175,South Shore,43,2018,21.6460951,13.23134497,33.25664703,17.14230171,24.59205606,37.93528524,8.04,37.08361925,27.6,-87.57279,41.761583
